#{"t_start": 1762788408.883086, "env_id": "None"}
r,l,t
-49.938054,1,1.26908
-49.938054,1,1.380165
-49.938054,1,1.491676
-49.938054,1,1.602868
-49.938054,1,1.713902
-49.938054,1,1.825243
-49.938054,1,1.936359
-49.938054,1,2.047483
-49.938054,1,2.158887
-49.938054,1,2.269997
-49.938054,1,2.383898
-49.938054,1,2.496853
-49.938054,1,2.608145
-49.938054,1,2.71941
-49.938054,1,2.830552
-49.938054,1,2.94171
-49.938054,1,3.052825
-49.938054,1,3.163907
-49.938054,1,3.27572
-49.938054,1,3.3867
-49.938054,1,3.501564
-49.938054,1,3.61363
-49.938054,1,3.728444
-49.938054,1,3.839662
-49.938054,1,3.95068
-49.938054,1,4.061814
-49.938054,1,4.173029
-49.938054,1,4.284229
-49.938054,1,4.395446
-49.938054,1,4.507048
-49.938054,1,4.621638
-49.938054,1,4.732791
-49.938054,1,4.843962
-49.938054,1,4.956093
-49.938054,1,5.067247
-49.938054,1,5.178554
-49.938054,1,5.289659
-49.938054,1,5.40058
-49.938054,1,5.511899
-49.938054,1,5.623228
-49.938054,1,5.736846
-49.938054,1,5.848241
-49.938054,1,5.960107
-49.938054,1,6.071946
-49.938054,1,6.185225
-49.938054,1,6.296479
-49.938054,1,6.407497
-49.938054,1,6.518827
-49.938054,1,6.630247
-49.938054,1,6.741386
-49.938054,1,6.85525
-49.938054,1,6.966367
-49.938054,1,7.077955
-49.938054,1,7.189161
-49.938054,1,7.300388
-49.938054,1,7.413581
-49.938054,1,7.524618
-49.938054,1,7.635623
-49.938054,1,7.746921
-49.938054,1,7.858004
-49.938054,1,7.9718
-49.938054,1,8.083018
-49.938054,1,8.194874
-49.938054,1,8.305947
-49.938054,1,8.417378
-49.938054,1,8.529314
-49.938054,1,8.642497
-49.938054,1,8.753457
-49.938054,1,8.864568
-49.938054,1,8.975577
-49.938054,1,9.089385
-49.938054,1,9.20065
-49.938054,1,9.311842
-49.938054,1,9.422971
-49.938054,1,9.534228
-49.938054,1,9.645598
-49.938054,1,9.756639
-49.938054,1,9.867865
-49.938054,1,9.979113
-49.938054,1,10.090079
-49.938054,1,10.203816
-49.938054,1,10.314944
-49.938054,1,10.426236
-49.938054,1,10.537287
-49.938054,1,10.648643
-49.938054,1,10.759871
-49.938054,1,10.871053
-49.938054,1,10.98222
-49.938054,1,11.093496
-49.938054,1,11.204576
-49.938054,1,11.319065
-49.938054,1,11.430301
-49.938054,1,11.541402
-49.938054,1,11.652525
-49.938054,1,11.763936
-49.938054,1,11.87507
-49.938054,1,11.986436
-49.938054,1,12.098189
-49.938054,1,12.209408
-49.938054,1,12.320751
-49.938054,1,12.435667
-49.938054,1,12.54701
-49.938054,1,12.658216
-49.938054,1,12.769529
-49.938054,1,12.880886
-49.938054,1,12.991943
-49.938054,1,13.103369
-49.938054,1,13.214927
-49.938054,1,13.326272
-49.938054,1,13.437747
-49.938054,1,13.552618
-49.938054,1,13.663546
-49.938054,1,13.774637
-49.938054,1,13.885934
-49.938054,1,13.997001
-49.938054,1,14.108167
-49.938054,1,14.219453
-49.938054,1,14.330547
-49.938054,1,14.441587
-49.938054,1,14.553033
-49.938054,1,14.667408
-49.938054,1,14.778527
-49.938054,1,14.889684
-49.938054,1,15.001331
-49.938054,1,15.112708
-49.938054,1,15.224061
-49.938054,1,15.335397
-49.938054,1,15.446746
-49.938054,1,15.558038
-49.938054,1,15.669167
-49.938054,1,15.784368
-49.938054,1,15.895452
-49.938054,1,16.006875
-49.938054,1,16.118445
-49.938054,1,16.229543
-49.938054,1,16.341045
-49.938054,1,16.452884
-49.938054,1,16.564105
-49.938054,1,16.675635
-49.938054,1,16.786825
-49.938054,1,16.901912
-49.938054,1,17.013028
-49.938054,1,17.124177
-49.938054,1,17.235677
-49.938054,1,17.346651
-49.938054,1,17.457631
-49.938054,1,17.568888
-49.938054,1,17.680064
-49.938054,1,17.791499
-49.938054,1,17.90308
-49.938054,1,18.016851
-49.938054,1,18.127829
-49.938054,1,18.238843
-49.938054,1,18.350232
-49.938054,1,18.461385
-49.938054,1,18.572953
-49.938054,1,18.684216
-49.938054,1,18.795446
-49.938054,1,18.90706
-49.938054,1,19.018224
-49.938054,1,19.132179
-49.938054,1,19.243603
-49.938054,1,19.355082
-49.938054,1,19.466586
-49.938054,1,19.578252
-49.938054,1,19.689407
-49.938054,1,19.802209
-49.938054,1,19.913235
-49.938054,1,20.024449
-49.938054,1,20.135656
-49.938054,1,20.250473
-49.938054,1,20.361711
-49.938054,1,20.473438
-49.938054,1,20.584878
-49.938054,1,20.695948
-49.938054,1,20.807457
-49.938054,1,20.918794
-49.938054,1,21.029891
-49.938054,1,21.141213
-49.938054,1,21.252259
-49.938054,1,21.366715
-49.938054,1,21.478703
-49.938054,1,21.590441
-49.938054,1,21.701665
-49.938054,1,21.812655
-49.938054,1,21.92409
-49.938054,1,22.035381
-49.938054,1,22.14657
-49.938054,1,22.257961
-49.938054,1,22.369852
-49.938054,1,22.483958
-49.938054,1,22.59557
-49.938054,1,22.706823
